strike_pct,expiry_days,K,T_years,option_type,bs_price,binomial_price,mc_price,heston_cf_price,bs_vs_cf,mc_vs_cf,binomial_vs_cf
80.0,30,80.0,0.119048,put,0.0007,0.0007,0.0003,0.0086,-0.0079,-0.0083,-0.0079
85.0,30,85.0,0.119048,put,0.0152,0.0151,0.0195,0.0523,-0.0371,-0.0328,-0.0373
90.0,30,90.0,0.119048,put,0.147,0.1467,0.147,0.2435,-0.0965,-0.0965,-0.0968
95.0,30,95.0,0.119048,put,0.7647,0.7655,0.783,0.8753,-0.1106,-0.0923,-0.1098
100.0,30,100.0,0.119048,put,2.4577,2.4543,2.4248,2.4463,0.0114,-0.0215,0.008
105.0,30,105.0,0.119048,call,1.1491,1.1456,1.1853,1.0006,0.1485,0.1847,0.145
110.0,30,110.0,0.119048,call,0.332,0.3316,0.327,0.1967,0.1353,0.1303,0.1349
115.0,30,115.0,0.119048,call,0.0736,0.0732,0.0761,0.0203,0.0533,0.0558,0.0528
120.0,30,120.0,0.119048,call,0.0127,0.0124,0.0168,0.0011,0.0116,0.0157,0.0113
80.0,60,80.0,0.238095,put,0.023,0.0226,0.0216,0.0971,-0.0741,-0.0755,-0.0744
85.0,60,85.0,0.238095,put,0.1317,0.1314,0.1386,0.2819,-0.1502,-0.1432,-0.1505
90.0,60,90.0,0.238095,put,0.5142,0.5155,0.5222,0.7203,-0.2061,-0.1981,-0.2048
95.0,60,95.0,0.238095,put,1.474,1.4763,1.5109,1.6297,-0.1557,-0.1188,-0.1534
100.0,60,100.0,0.238095,put,3.3057,3.3009,3.3068,3.2792,0.0265,0.0276,0.0216
105.0,60,105.0,0.238095,call,2.3658,2.3697,2.3704,2.133,0.2327,0.2374,0.2367
110.0,60,110.0,0.238095,call,1.1088,1.1063,1.1103,0.7953,0.3135,0.315,0.311
115.0,60,115.0,0.238095,call,0.4631,0.461,0.4894,0.219,0.2441,0.2704,0.242
120.0,60,120.0,0.238095,call,0.1733,0.1721,0.1829,0.044,0.1293,0.1389,0.1281
80.0,90,80.0,0.357143,put,0.086,0.0854,0.0785,0.2502,-0.1643,-0.1717,-0.1648
85.0,90,85.0,0.357143,put,0.3131,0.3138,0.3202,0.5607,-0.2477,-0.2406,-0.2469
90.0,90,90.0,0.357143,put,0.8815,0.8821,0.8961,1.1536,-0.2722,-0.2575,-0.2715
95.0,90,95.0,0.357143,put,2.0144,2.0106,2.0233,2.1902,-0.1758,-0.1669,-0.1796
100.0,90,100.0,0.357143,put,3.8909,3.8849,3.8781,3.8511,0.0398,0.027,0.0338
105.0,90,105.0,0.357143,call,3.4305,3.4287,3.496,3.1464,0.2841,0.3496,0.2823
110.0,90,110.0,0.357143,call,1.9348,1.9376,1.9613,1.5024,0.4325,0.4589,0.4352
115.0,90,115.0,0.357143,call,1.0177,1.0175,0.9941,0.5926,0.4251,0.4015,0.4249
120.0,90,120.0,0.357143,call,0.5009,0.4995,0.4977,0.1906,0.3103,0.3072,0.3089
